City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Taian,CN,2021-10-09 02:26:49,36.1853,117.12,69.04,82,74,2.19
126,Amapa,BR,2021-10-09 02:24:46,1.0,-52.0,73.6,93,78,2.84
127,Te Anau,NZ,2021-10-09 02:25:03,-45.4167,167.7167,57.88,55,21,2.42
128,Port Hardy,CA,2021-10-09 02:24:46,50.6996,-127.4199,50.18,87,90,0.0
129,Severo-Kurilsk,RU,2021-10-09 02:26:50,50.6789,156.125,46.96,73,23,18.48
130,Crown Point,US,2021-10-09 02:22:38,41.417,-87.3653,64.53,96,1,0.0
131,Leningradskiy,RU,2021-10-09 02:26:50,69.3833,178.4167,25.0,92,100,0.94
132,Brookhaven,US,2021-10-09 02:26:51,31.5791,-90.4407,69.46,77,17,1.05
133,Saskylakh,RU,2021-10-09 02:25:13,71.9167,114.0833,10.85,99,88,2.01
134,Lavrentiya,RU,2021-10-09 02:23:45,65.5833,-171.0,34.93,83,100,18.43
135,Khatanga,RU,2021-10-09 02:24:15,71.9667,102.5,17.76,97,99,3.13
136,Nanortalik,GL,2021-10-09 02:24:18,60.1432,-45.2371,37.13,63,0,6.64
137,Mecca,SA,2021-10-09 02:26:52,21.4267,39.8261,81.88,71,63,6.87
138,Vila Franca Do Campo,PT,2021-10-09 02:26:52,37.7167,-25.4333,68.2,84,4,6.87
139,San Jose,US,2021-10-09 02:22:53,37.3394,-121.895,59.68,62,75,8.05
140,Xinmin,CN,2021-10-09 02:26:53,41.9908,122.8253,63.28,94,100,11.12
141,Bambanglipuro,ID,2021-10-09 02:26:53,-7.95,110.2833,67.6,64,26,9.1
142,The Valley,AI,2021-10-09 02:21:07,18.217,-63.0578,84.06,74,100,17.34
143,San Cristobal,VE,2021-10-09 02:26:54,7.7669,-72.225,69.98,89,95,2.46
144,Souillac,MU,2021-10-09 02:25:51,-20.5167,57.5167,70.18,88,40,9.22
145,Pacific Grove,US,2021-10-09 02:24:42,36.6177,-121.9166,59.4,78,20,1.01
146,Brindisi,IT,2021-10-09 02:26:55,40.5833,17.6667,60.44,76,12,2.68
147,Aanekoski,FI,2021-10-09 02:26:55,62.6946,25.818,51.87,100,100,7.99
148,Codrington,AU,2021-10-09 02:25:32,-38.2667,141.9667,65.05,56,79,10.51
149,Talnakh,RU,2021-10-09 02:23:36,69.4865,88.3972,25.84,93,100,3.58
150,Tosham,IN,2021-10-09 02:26:55,28.8833,75.9167,80.69,41,0,2.77
151,Harper,LR,2021-10-09 02:26:56,4.375,-7.7169,76.96,89,100,7.47
152,Makakilo City,US,2021-10-09 02:26:56,21.3469,-158.0858,84.52,51,20,13.8
153,Aleksinac,RS,2021-10-09 02:26:57,43.5417,21.7078,45.55,93,100,6.58
154,Ornskoldsvik,SE,2021-10-09 02:26:57,63.2909,18.7153,45.55,100,40,4.61
155,Itarema,BR,2021-10-09 02:26:57,-2.9248,-39.9167,79.14,81,71,13.58
156,Trindade,BR,2021-10-09 02:26:58,-16.6494,-49.4889,76.75,74,96,4.68
157,Faya,SA,2021-10-09 02:25:48,18.3851,42.4509,63.12,59,92,5.97
158,Victoria,HK,2021-10-09 02:19:52,22.2855,114.1577,84.38,87,100,15.99
159,Saint Anthony,US,2021-10-09 02:26:58,45.0205,-93.218,67.14,87,1,4.61
160,Jiuquan,CN,2021-10-09 02:26:59,39.7432,98.5174,35.83,54,7,0.85
161,Minbu,MM,2021-10-09 02:26:59,20.1833,94.8833,83.39,76,7,5.55
162,Whitehorse,CA,2021-10-09 02:26:59,60.7161,-135.0538,38.17,86,90,15.99
163,Coahuayana,MX,2021-10-09 02:25:12,18.7333,-103.6833,85.48,89,99,1.86
164,Alice Springs,AU,2021-10-09 02:27:00,-23.7,133.8833,96.35,9,3,18.41
165,Ozernovskiy,RU,2021-10-09 02:27:00,51.5,156.5167,44.1,86,49,8.46
166,Sept-Iles,CA,2021-10-09 02:26:35,50.2001,-66.3821,28.92,93,1,3.44
167,Lompoc,US,2021-10-09 02:23:45,34.6391,-120.4579,60.78,77,1,10.36
168,Lagoa,PT,2021-10-09 02:24:28,39.05,-27.9833,68.38,66,3,8.66
